,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STATEFIP,COUNTYFIP,STRATA,GQ,OWNERSHP,OWNERSHPD,MORTGAGE,MORTGAG2,MORTAMT1,MORTAMT2,RENT,RENTGRS,HHINCOME,PERNUM,PERWT,SEX,AGE,IND,INCTOT,INCWAGE
6959,2017,201701,402724,2.017E+12,103,2.017E+12,15,0,10015,1,1,12,1,0,0,0,0,0,107400,1,103,2,87,0,19200,0
6960,2017,201701,402724,2.017E+12,103,2.017E+12,15,0,10015,1,1,12,1,0,0,0,0,0,107400,2,151,1,55,9590,70000,70000
6961,2017,201701,402724,2.017E+12,103,2.017E+12,15,0,10015,1,1,12,1,0,0,0,0,0,107400,3,115,2,50,8660,18200,18200
6962,2017,201701,402725,2.017E+12,77,2.017E+12,15,1,20015,1,2,22,0,0,0,0,850,950,9600,1,77,1,51,9570,0,0
6963,2017,201701,402725,2.017E+12,77,2.017E+12,15,1,20015,1,2,22,0,0,0,0,850,950,9600,2,154,2,50,0,9600,0
6964,2017,201701,402726,2.017E+12,106,2.017E+12,15,0,10015,1,2,22,0,0,0,0,200,300,32500,1,106,1,68,0,18000,0
6965,2017,201701,402726,2.017E+12,106,2.017E+12,15,0,10015,1,2,22,0,0,0,0,200,300,32500,2,58,2,68,0,14500,0
6966,2017,201701,402727,2.017E+12,92,2.017E+12,15,0,10015,1,1,13,3,4,2400,150,0,0,147000,1,93,1,61,7870,77000,77000
6967,2017,201701,402727,2.017E+12,92,2.017E+12,15,0,10015,1,1,13,3,4,2400,150,0,0,147000,2,82,2,65,8270,70000,70000
6968,2017,201701,402728,2.017E+12,71,2.017E+12,15,3,30415,1,1,13,3,1,1600,0,0,0,105400,1,71,1,47,3960,79900,75000
6969,2017,201701,402728,2.017E+12,71,2.017E+12,15,3,30415,1,1,13,3,1,1600,0,0,0,105400,2,82,2,39,3960,25500,24000
6970,2017,201701,402728,2.017E+12,71,2.017E+12,15,3,30415,1,1,13,3,1,1600,0,0,0,105400,3,84,1,8,0,9999999,999999
6971,2017,201701,402728,2.017E+12,71,2.017E+12,15,3,30415,1,1,13,3,1,1600,0,0,0,105400,4,69,2,6,0,9999999,999999
6972,2017,201701,402729,2.017E+12,217,2.017E+12,15,1,20015,1,2,22,0,0,0,0,1400,1400,185000,1,216,1,40,7980,185000,185000
6973,2017,201701,402729,2.017E+12,217,2.017E+12,15,1,20015,1,2,22,0,0,0,0,1400,1400,185000,2,231,2,37,0,0,0
6974,2017,201701,402730,2.017E+12,77,2.017E+12,15,0,10015,1,1,13,3,1,1200,0,0,0,61320,1,78,1,56,170,30000,30000
6975,2017,201701,402730,2.017E+12,77,2.017E+12,15,0,10015,1,1,13,3,1,1200,0,0,0,61320,2,46,2,58,0,0,0
6976,2017,201701,402730,2.017E+12,77,2.017E+12,15,0,10015,1,1,13,3,1,1200,0,0,0,61320,3,105,1,32,0,0,0
6977,2017,201701,402730,2.017E+12,77,2.017E+12,15,0,10015,1,1,13,3,1,1200,0,0,0,61320,4,48,2,50,0,0,0
6978,2017,201701,402730,2.017E+12,77,2.017E+12,15,0,10015,1,1,13,3,1,1200,0,0,0,61320,5,53,1,4,0,9999999,999999
6979,2017,201701,402730,2.017E+12,77,2.017E+12,15,0,10015,1,1,13,3,1,1200,0,0,0,61320,6,66,2,60,6070,31320,31000
6980,2017,201701,402731,2.017E+12,69,2.017E+12,15,3,30515,1,1,13,3,1,2400,0,0,0,185400,1,69,1,46,770,148200,105000
6981,2017,201701,402731,2.017E+12,69,2.017E+12,15,3,30515,1,1,13,3,1,2400,0,0,0,185400,2,69,2,47,9480,37200,37200
6982,2017,201701,402731,2.017E+12,69,2.017E+12,15,3,30515,1,1,13,3,1,2400,0,0,0,185400,3,143,1,12,0,9999999,999999
6983,2017,201701,402731,2.017E+12,69,2.017E+12,15,3,30515,1,1,13,3,1,2400,0,0,0,185400,4,87,2,11,0,9999999,999999
6984,2017,201701,402732,2.017E+12,103,2.017E+12,15,0,10015,1,1,13,3,1,1000,0,0,0,192000,1,102,2,36,8190,120000,120000
6985,2017,201701,402732,2.017E+12,103,2.017E+12,15,0,10015,1,1,13,3,1,1000,0,0,0,192000,2,87,1,43,3895,72000,60000
6986,2017,201701,402732,2.017E+12,103,2.017E+12,15,0,10015,1,1,13,3,1,1000,0,0,0,192000,3,131,2,4,0,9999999,999999
6987,2017,201701,402732,2.017E+12,103,2.017E+12,15,0,10015,1,1,13,3,1,1000,0,0,0,192000,4,131,2,1,0,9999999,999999
6988,2017,201701,402733,2.017E+12,62,2.017E+12,15,0,10015,1,1,13,3,1,3100,0,0,0,194000,1,62,1,60,8660,194000,175000
6989,2017,201701,402734,2.017E+12,77,2.017E+12,15,0,10015,1,2,22,0,0,0,0,2100,2370,15600,1,77,2,40,8680,7500,7500
6990,2017,201701,402734,2.017E+12,77,2.017E+12,15,0,10015,1,2,22,0,0,0,0,2100,2370,15600,2,62,1,17,0,0,0
6991,2017,201701,402734,2.017E+12,77,2.017E+12,15,0,10015,1,2,22,0,0,0,0,2100,2370,15600,3,85,1,7,0,9999999,999999
6992,2017,201701,402734,2.017E+12,77,2.017E+12,15,0,10015,1,2,22,0,0,0,0,2100,2370,15600,4,79,1,45,4890,8100,8100
6993,2017,201701,402735,2.017E+12,140,2.017E+12,15,3,30515,1,2,22,0,0,0,0,1800,1970,60000,1,141,1,51,7790,36000,36000
6994,2017,201701,402735,2.017E+12,140,2.017E+12,15,3,30515,1,2,22,0,0,0,0,1800,1970,60000,2,98,2,49,7690,24000,24000
6995,2017,201701,402736,2.017E+12,21,2.017E+12,15,0,10015,1,2,22,0,0,0,0,460,750,2700,1,21,2,86,0,2700,0
6996,2017,201701,402736,2.017E+12,21,2.017E+12,15,0,10015,1,2,22,0,0,0,0,460,750,2700,2,28,2,62,0,0,0
6997,2017,201701,402736,2.017E+12,21,2.017E+12,15,0,10015,1,2,22,0,0,0,0,460,750,2700,3,29,1,58,0,0,0
6998,2017,201701,402737,2.017E+12,82,2.017E+12,15,3,30215,1,1,12,1,0,0,0,0,0,41200,1,82,2,96,0,22800,0
6999,2017,201701,402737,2.017E+12,82,2.017E+12,15,3,30215,1,1,12,1,0,0,0,0,0,41200,2,71,2,73,0,18400,0
7000,2017,201701,402738,2.017E+12,121,2.017E+12,15,1,20015,1,2,22,0,0,0,0,1000,1560,220400,1,121,2,65,7770,9600,0
7001,2017,201701,402738,2.017E+12,121,2.017E+12,15,1,20015,1,2,22,0,0,0,0,1000,1560,220400,2,35,1,68,9570,69800,47000
7002,2017,201701,402738,2.017E+12,121,2.017E+12,15,1,20015,1,2,22,0,0,0,0,1000,1560,220400,3,42,2,29,8180,78000,78000
7003,2017,201701,402738,2.017E+12,121,2.017E+12,15,1,20015,1,2,22,0,0,0,0,1000,1560,220400,4,47,1,41,7580,3000,3000
7004,2017,201701,402738,2.017E+12,121,2.017E+12,15,1,20015,1,2,22,0,0,0,0,1000,1560,220400,5,29,1,9,0,9999999,999999
